=== Chai Page Fault Study (nsys) ===
Host: 209-20-156-92
Date: Wed Jan 28 16:09:03 UTC 2026
GPU: NVIDIA H100 PCIe
CUDA: Cuda compilation tools, release 12.8, V12.8.93
  PAD: threads=1, gpu_blocks=16, partition=1.0
  PAD: threads=1, gpu_blocks=32, partition=0.0
  PAD: threads=1, gpu_blocks=32, partition=0.1
  PAD: threads=1, gpu_blocks=32, partition=0.25
  PAD: threads=1, gpu_blocks=32, partition=0.5
  PAD: threads=1, gpu_blocks=32, partition=0.75
  PAD: threads=1, gpu_blocks=32, partition=0.9
  PAD: threads=1, gpu_blocks=32, partition=1.0
  PAD: threads=1, gpu_blocks=64, partition=0.0
  PAD: threads=1, gpu_blocks=64, partition=0.1
  PAD: threads=1, gpu_blocks=64, partition=0.25
  PAD: threads=1, gpu_blocks=64, partition=0.5
  PAD: threads=1, gpu_blocks=64, partition=0.75
  PAD: threads=1, gpu_blocks=64, partition=0.9
  PAD: threads=1, gpu_blocks=64, partition=1.0
  PAD: threads=4, gpu_blocks=8, partition=0.0
  PAD: threads=4, gpu_blocks=8, partition=0.1
  PAD: threads=4, gpu_blocks=8, partition=0.25
  PAD: threads=4, gpu_blocks=8, partition=0.5
  PAD: threads=4, gpu_blocks=8, partition=0.75
  PAD: threads=4, gpu_blocks=8, partition=0.9
  PAD: threads=4, gpu_blocks=8, partition=1.0
  PAD: threads=4, gpu_blocks=16, partition=0.0
  PAD: threads=4, gpu_blocks=16, partition=0.1
  PAD: threads=4, gpu_blocks=16, partition=0.25
  PAD: threads=4, gpu_blocks=16, partition=0.5
  PAD: threads=4, gpu_blocks=16, partition=0.75
  PAD: threads=4, gpu_blocks=16, partition=0.9
  PAD: threads=4, gpu_blocks=16, partition=1.0
  PAD: threads=4, gpu_blocks=32, partition=0.0
  PAD: threads=4, gpu_blocks=32, partition=0.1
  PAD: threads=4, gpu_blocks=32, partition=0.25
  PAD: threads=4, gpu_blocks=32, partition=0.5
  PAD: threads=4, gpu_blocks=32, partition=0.75
  PAD: threads=4, gpu_blocks=32, partition=0.9
  PAD: threads=4, gpu_blocks=32, partition=1.0
  PAD: threads=4, gpu_blocks=64, partition=0.0
  PAD: threads=4, gpu_blocks=64, partition=0.1
  PAD: threads=4, gpu_blocks=64, partition=0.25
  PAD: threads=4, gpu_blocks=64, partition=0.5
  PAD: threads=4, gpu_blocks=64, partition=0.75
  PAD: threads=4, gpu_blocks=64, partition=0.9
  PAD: threads=4, gpu_blocks=64, partition=1.0
